age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,capital-gains,capital-loss,incident_date,accident_type,collision_type,incident_severity,authorities_contacted,state,city,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
54,398102,IL,500/1000,2000,1097.71,0,FEMALE,29600,-22300,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,YES,2,?,100800,16800,16800,67200,Dodge,Neon,1997
27,514065,IN,250/500,500,1363.77,4000000,FEMALE,51100,0,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,YES,2,NO,90970,16540,16540,57890,Accura,RSX,2009
46,922167,OH,100/300,1000,1141.35,7000000,MALE,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,?,0,NO,54900,5490,5490,43920,Mercedes,C300,2013
34,226330,IL,100/300,2000,1057.77,0,FEMALE,0,-57700,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,?,1,NO,18000,2250,2250,13500,Audi,A3,2009
39,134430,IN,250/500,2000,1488.02,0,FEMALE,0,-39200,2015-02-25,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,YES,1,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010
28,438817,OH,500/1000,1000,986.53,0,FEMALE,62700,0,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,NO,0,YES,101860,18520,18520,64820,Honda,CRV,2007
57,293794,OH,250/500,2000,1440.68,0,MALE,25000,0,2015-02-09,Parked Car,?,Minor Damage,,SC,Riverwood,YES,0,YES,5390,980,980,3430,Volkswagen,Passat,2008
39,868283,IN,250/500,1000,1086.21,0,MALE,68500,-57500,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,?,1,?,50490,5610,5610,39270,Nissan,Maxima,2001
47,828890,OH,100/300,2000,1367.68,0,FEMALE,0,0,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,NO,0,NO,55500,5550,11100,38850,Mercedes,C300,2012
32,882920,OH,500/1000,1000,1215.85,0,MALE,42900,-90200,2015-01-02,Vehicle Theft,?,Minor Damage,Police,VA,Hillsdale,YES,1,YES,7040,1280,640,5120,Nissan,Maxima,2015
26,918777,IL,250/500,2000,1191.19,4000000,MALE,29300,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,?,0,YES,40160,5020,0,35140,Chevrolet,Tahoe,2003
44,212580,IL,500/1000,1000,1594.45,0,MALE,0,0,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,YES,2,NO,55680,6960,6960,41760,Saab,95,2006
43,976971,OH,250/500,500,1734.09,0,FEMALE,0,0,2015-01-12,Parked Car,?,Trivial Damage,,WV,Arlington,YES,0,?,5200,650,650,3900,Accura,MDX,2006
48,630226,IL,250/500,500,1411.43,0,MALE,45100,-32800,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,YES,2,NO,59400,5940,11880,41580,Honda,Civic,2014
43,171254,OH,100/300,2000,1512.58,0,FEMALE,47600,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,SC,Arlington,?,1,?,2520,280,280,1960,BMW,3 Series,1997
31,247116,IL,250/500,2000,1153.35,0,MALE,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Hillsdale,NO,2,YES,5760,960,960,3840,Suburu,Impreza,2011
49,505969,OH,250/500,500,1722.95,0,MALE,63100,-13800,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,?,2,YES,76700,7670,7670,61360,Suburu,Legacy,2006
39,653864,IN,250/500,2000,1281.07,7000000,FEMALE,0,0,2015-01-18,Parked Car,?,Trivial Damage,Police,NY,Springfield,NO,0,NO,5920,740,740,4440,Chevrolet,Malibu,2015
62,586367,IL,100/300,500,1011.92,0,MALE,0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,YES,0,?,64350,7150,7150,50050,Chevrolet,Tahoe,2009
39,896890,IL,250/500,2000,1042.26,0,MALE,0,0,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,NO,1,?,19080,4240,2120,12720,Saab,93,1995
43,650026,OH,500/1000,500,1235.1,0,FEMALE,66400,-34400,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,NO,2,NO,54400,5440,5440,43520,BMW,M5,2011
29,598124,OH,500/1000,500,1301.72,0,MALE,0,0,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,?,0,YES,72000,7200,7200,57600,Audi,A3,2005
48,436126,IN,250/500,500,1451.54,3000000,MALE,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,NO,2,NO,65070,7230,14460,43380,Mercedes,C300,2003
53,739447,IN,250/500,500,767.14,0,MALE,25500,-36700,2015-01-14,Parked Car,?,Trivial Damage,Police,WV,Columbus,NO,0,NO,8800,1760,880,6160,Suburu,Legacy,2002
24,427484,OH,250/500,2000,1620.89,0,FEMALE,0,0,2015-02-03,Vehicle Theft,?,Minor Damage,Police,NC,Hillsdale,NO,2,NO,6120,1020,1020,4080,Toyota,Corolla,2015
37,218684,IN,500/1000,2000,1048.46,0,MALE,59900,0,2015-01-05,Vehicle Theft,?,Trivial Damage,,OH,Columbus,?,1,?,7080,1180,590,5310,Dodge,RAM,1999
50,565564,OH,100/300,1000,1538.26,6000000,MALE,62200,-31400,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,YES,2,YES,34320,8580,4290,21450,Volkswagen,Passat,2009
26,593390,IL,100/300,2000,924.72,0,FEMALE,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,NO,2,NO,63120,5260,10520,47340,Audi,A5,2008
28,970607,OH,250/500,1000,1019.44,0,MALE,0,-39700,2015-02-10,Vehicle Theft,?,Trivial Damage,,NC,Springfield,?,2,NO,7200,1440,720,5040,BMW,X5,2004
43,529398,OH,100/300,1000,1515.18,6000000,MALE,0,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,NO,1,NO,60190,9260,9260,41670,BMW,X6,1999
49,442677,OH,250/500,500,1451.01,0,FEMALE,47800,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,NO,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012
50,365364,IL,500/1000,1000,978.46,0,FEMALE,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,YES,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995
50,114839,IL,250/500,500,1198.34,4000000,MALE,53000,-72500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,?,1,NO,57060,6340,6340,44380,Mercedes,E400,1995
38,872734,IN,100/300,2000,1003.23,0,FEMALE,0,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,?,0,YES,77880,12980,12980,51920,Accura,MDX,2008
41,267885,IN,500/1000,2000,1212.0,0,MALE,24400,-60500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,YES,0,YES,73500,7350,14700,51450,Jeep,Wrangler,1999
52,740505,IL,250/500,1000,1242.96,7000000,FEMALE,0,-37100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,YES,2,?,88920,6840,13680,68400,Accura,RSX,2010
53,839884,IL,100/300,500,1693.63,0,FEMALE,0,-64000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,YES,1,NO,59040,6560,6560,45920,Saab,93,2015
37,241562,IL,250/500,1000,2047.59,0,FEMALE,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,?,0,NO,79530,14460,7230,57840,Accura,MDX,2000
34,405533,OH,100/300,1000,1083.72,0,FEMALE,65600,-68200,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,NO,0,YES,53680,4880,4880,43920,Honda,CRV,2005
46,667021,OH,500/1000,1000,1138.42,6000000,MALE,36900,-55000,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,NO,2,YES,33550,3050,6100,24400,Volkswagen,Passat,2005
42,511621,IN,250/500,500,1072.62,0,FEMALE,39900,-60200,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,?,2,YES,69100,6910,6910,55280,Toyota,Highlander,2006
35,476923,IL,100/300,2000,1219.04,0,MALE,63600,-68700,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,?,2,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999
54,492745,IN,100/300,2000,1506.21,0,MALE,0,-24400,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,NO,1,?,76560,12760,6380,57420,Nissan,Ultima,2009
32,130930,IN,100/300,1000,1058.21,3000000,MALE,0,0,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,YES,1,NO,41130,4570,4570,31990,Dodge,RAM,1999
41,280709,OH,500/1000,2000,1608.34,0,FEMALE,33300,-10600,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,?,1,?,71060,6460,12920,51680,Saab,92x,2010
37,898573,IN,500/1000,1000,1728.56,0,FEMALE,54000,0,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,YES,1,?,38830,3530,3530,31770,Suburu,Legacy,1999
43,547802,IL,250/500,1000,1518.46,0,FEMALE,0,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,?,0,YES,53500,5350,5350,42800,Saab,92x,2015
40,390381,OH,500/1000,2000,965.21,0,FEMALE,36900,-53700,2015-02-02,Parked Car,?,Trivial Damage,,SC,Hillsdale,?,2,YES,6300,630,630,5040,Nissan,Ultima,2001
36,629918,IL,100/300,2000,1278.75,0,FEMALE,53200,-53800,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,?,2,NO,65400,10900,10900,43600,Dodge,RAM,2012
28,208298,OH,250/500,1000,773.99,0,MALE,0,-70300,2015-01-01,Vehicle Theft,?,Trivial Damage,,PA,Springfield,YES,1,NO,3200,640,320,2240,Mercedes,E400,2014
28,184938,IL,250/500,1000,1340.56,0,FEMALE,0,0,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,YES,0,YES,58140,6460,6460,45220,Saab,92x,2008
27,326322,IL,250/500,1000,433.33,0,MALE,25900,0,2015-01-02,Parked Car,?,Minor Damage,,SC,Hillsdale,?,0,NO,5900,1180,590,4130,Mercedes,E400,2009
30,146138,IN,250/500,2000,1025.54,0,FEMALE,0,-52600,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,?,1,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001
40,118137,OH,100/300,500,1238.65,0,FEMALE,0,-44600,2015-01-27,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,YES,1,NO,7480,680,680,6120,Saab,95,1998
57,737593,IL,100/300,500,865.33,7000000,FEMALE,0,0,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,NO,0,?,59040,9840,9840,39360,Dodge,RAM,1995
36,812025,IL,250/500,500,1153.49,0,MALE,0,0,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,YES,1,YES,50500,10100,5050,35350,Accura,TL,2004
40,594739,IL,100/300,500,1342.8,0,FEMALE,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,YES,1,YES,5940,660,660,4620,Toyota,Camry,2014
29,283925,OH,250/500,1000,1629.94,0,FEMALE,0,-47100,2015-02-02,Parked Car,?,Trivial Damage,,SC,Riverwood,?,0,NO,3850,350,350,3150,Dodge,Neon,2014
40,226725,IN,500/1000,2000,1304.67,7000000,MALE,0,-45000,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,?,1,?,61490,5590,11180,44720,Dodge,RAM,2001
30,942504,IL,500/1000,2000,1035.79,0,FEMALE,44400,-51500,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,NO,1,YES,57640,5240,10480,41920,Volkswagen,Passat,2010
57,395572,IL,250/500,500,1401.2,0,FEMALE,51500,0,2015-01-25,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,NO,1,NO,6890,1060,1060,4770,Audi,A5,1999
29,818167,IN,500/1000,2000,653.66,0,FEMALE,52100,-46900,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,NO,0,?,78300,15660,7830,54810,BMW,X5,2009
37,277767,OH,100/300,500,1080.13,0,MALE,0,-61000,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,YES,0,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001
36,842618,IN,100/300,2000,1346.18,0,FEMALE,57800,-53300,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,YES,2,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007
55,577810,OH,250/500,2000,1589.54,0,MALE,55400,0,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,?,2,YES,85300,17060,8530,59710,Toyota,Highlander,2003
40,873114,IL,100/300,1000,1251.65,0,FEMALE,71200,0,2015-02-19,Parked Car,?,Minor Damage,,NY,Hillsdale,NO,0,NO,3080,560,280,2240,Audi,A3,2012
26,727792,OH,100/300,500,974.59,0,FEMALE,62800,0,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,?,1,NO,59700,11940,11940,35820,Nissan,Ultima,2002
39,522506,IL,500/1000,2000,1399.85,0,FEMALE,49900,-19800,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,NO,0,?,64920,10820,10820,43280,Ford,Fusion,1997
43,367595,IN,500/1000,500,1307.74,0,FEMALE,0,-75700,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,?,0,NO,37530,4170,4170,29190,Jeep,Wrangler,2008
42,586104,IN,250/500,2000,1219.27,0,MALE,53100,-63400,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,YES,1,NO,64080,7120,7120,49840,Saab,93,2012
38,356768,IL,100/300,500,1006.77,6000000,FEMALE,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,YES,2,YES,70900,14180,7090,49630,BMW,X6,1997
39,330506,OH,250/500,1000,1422.36,0,FEMALE,0,-83900,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,NO,1,?,46560,7760,7760,31040,Nissan,Ultima,2012
40,799501,OH,250/500,2000,1315.56,0,FEMALE,0,0,2015-02-18,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,YES,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003
36,967756,OH,250/500,2000,1388.58,0,FEMALE,0,-49400,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,?,1,YES,79560,13260,13260,53040,Ford,Escape,2009
33,830414,IL,500/1000,500,1310.76,0,FEMALE,0,-40900,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,YES,0,?,70290,12780,6390,51120,Accura,MDX,2008
31,127313,IN,100/300,1000,1004.63,6000000,MALE,26900,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,YES,2,NO,63910,5810,11620,46480,Suburu,Forrestor,1999
40,786957,OH,100/300,500,1134.91,0,FEMALE,68700,0,2015-01-29,Vehicle Theft,?,Trivial Damage,,SC,Riverwood,?,1,NO,6400,640,640,5120,Toyota,Camry,1997
39,448642,IN,500/1000,1000,1248.25,4000000,FEMALE,0,-33300,2015-02-01,Parked Car,?,Minor Damage,Police,VA,Northbrook,NO,0,?,8760,1460,1460,5840,BMW,3 Series,2013
42,526039,OH,100/300,500,1338.54,-1000000,MALE,0,0,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,YES,0,?,94160,8560,17120,68480,Chevrolet,Malibu,1996
40,444422,IL,250/500,2000,782.23,0,MALE,64200,-32300,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,?,0,NO,51570,5730,11460,34380,BMW,X5,2010
34,806081,IL,500/1000,1000,1275.81,0,MALE,0,-48300,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,YES,2,?,101010,15540,15540,69930,Mercedes,ML350,1998
31,756459,IN,250/500,500,1326.0,0,FEMALE,0,-54600,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,?,1,NO,72120,12020,12020,48080,Mercedes,ML350,2009
43,655787,IL,250/500,2000,972.47,0,MALE,0,-58100,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,YES,2,YES,77100,7710,15420,53970,Audi,A3,2010
39,419954,IL,100/300,500,806.31,0,FEMALE,0,0,2015-02-25,Parked Car,?,Trivial Damage,Police,SC,Northbend,?,2,?,3300,600,0,2700,Dodge,RAM,2003
35,275092,IL,500/1000,500,1416.24,0,FEMALE,0,0,2015-02-26,Parked Car,?,Minor Damage,,WV,Northbend,YES,1,?,5940,1080,540,4320,Nissan,Pathfinder,2003
27,515698,IN,250/500,2000,1097.64,0,MALE,27100,0,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,NO,1,?,63720,7080,21240,35400,Accura,TL,2006
43,132871,IL,100/300,500,947.75,0,FEMALE,0,-39300,2015-02-03,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,NO,1,NO,7680,1280,640,5760,Audi,A5,2008
31,714929,IL,100/300,2000,1018.73,5000000,MALE,20000,-82700,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,YES,1,?,93730,14420,21630,57680,Honda,CRV,2001
44,297816,IL,100/300,2000,1400.74,0,MALE,34000,-55600,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,YES,0,?,87300,17460,17460,52380,Jeep,Wrangler,2013
40,426708,IL,250/500,500,1155.53,5000000,MALE,0,-35200,2015-01-24,Parked Car,?,Trivial Damage,Police,NY,Columbus,?,0,NO,5670,1260,630,3780,Ford,F150,1997
47,615047,IN,250/500,500,1386.93,0,MALE,54100,-77600,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,YES,0,NO,65800,13160,6580,46060,Accura,TL,2001
37,371635,OH,500/1000,1000,1086.48,6000000,MALE,0,-53800,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,?,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999
36,427199,IL,250/500,2000,1247.87,0,MALE,0,-39700,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,NO,2,NO,45700,4570,4570,36560,BMW,3 Series,2008
33,278091,OH,100/300,2000,1327.41,0,FEMALE,0,-38600,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,?,0,?,35000,3500,7000,24500,Suburu,Legacy,2012
59,153154,OH,500/1000,1000,1338.55,0,MALE,39000,0,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,?,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014
30,515217,IL,250/500,2000,1316.63,8000000,FEMALE,43900,0,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,YES,2,?,84500,13000,13000,58500,BMW,X6,2009
42,860497,IL,500/1000,1000,1286.44,0,FEMALE,0,-39500,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,NO,2,?,75500,7550,15100,52850,Nissan,Ultima,1998
46,351741,OH,500/1000,1000,1372.18,0,MALE,0,0,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,NO,1,?,90600,15100,15100,60400,BMW,X5,2009
45,403737,IN,500/1000,2000,1447.77,0,FEMALE,39400,-63900,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,YES,1,?,64320,5360,10720,48240,Accura,MDX,1998
33,162004,IL,250/500,500,903.32,0,FEMALE,0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,?,1,?,31700,6340,3170,22190,Toyota,Highlander,2006
37,876714,IL,100/300,2000,1603.42,0,FEMALE,61600,-30200,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,YES,0,YES,80520,13420,6710,60390,Toyota,Corolla,2005
30,951543,IN,250/500,2000,1616.58,0,MALE,58500,-46800,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,YES,0,YES,63600,6360,12720,44520,Dodge,RAM,2010
44,576723,IL,250/500,500,1611.83,0,MALE,0,0,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,?,1,YES,32800,3280,3280,26240,BMW,3 Series,2012
50,391003,OH,500/1000,500,889.13,0,FEMALE,0,0,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,NO,0,NO,44190,9820,4910,29460,Audi,A3,2015
55,984948,IL,500/1000,2000,995.56,0,MALE,0,-65400,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,YES,1,YES,88400,17680,8840,61880,Nissan,Pathfinder,2010
49,890328,IL,100/300,2000,1347.92,0,FEMALE,0,-42100,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,YES,0,?,66550,12100,6050,48400,Volkswagen,Jetta,2003
47,803294,IN,100/300,1000,1724.09,0,MALE,0,0,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,YES,0,?,65780,5980,11960,47840,Chevrolet,Tahoe,2014
28,818413,OH,500/1000,1000,1377.94,0,MALE,0,0,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,?,2,?,44640,9920,4960,29760,Toyota,Camry,2005
25,159768,IN,250/500,500,1259.02,0,FEMALE,67000,-53600,2015-02-16,Parked Car,?,Trivial Damage,,SC,Northbend,NO,2,?,5640,940,940,3760,Nissan,Ultima,2005
26,865839,IL,500/1000,1000,1371.88,0,FEMALE,0,0,2015-02-04,Parked Car,?,Trivial Damage,,VA,Arlington,?,2,?,3190,580,580,2030,Suburu,Legacy,1995
30,406567,OH,100/300,500,1399.27,6000000,MALE,38900,-48700,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,?,0,YES,53440,0,6680,46760,Ford,Escape,2004
31,623032,IL,500/1000,1000,1061.98,6000000,FEMALE,0,0,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,NO,0,YES,65250,7250,7250,50750,BMW,3 Series,2002
39,935442,OH,250/500,500,1365.46,4000000,MALE,0,-56600,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,NO,2,NO,44280,4920,4920,34440,Chevrolet,Silverado,2008
37,106873,IL,500/1000,1000,894.4,0,MALE,0,-53700,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,YES,2,NO,70290,7810,7810,54670,Dodge,RAM,1999
30,563878,IN,250/500,500,956.69,0,FEMALE,39600,-64300,2015-02-06,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,?,1,YES,87100,8710,8710,69680,Saab,92x,2000
35,620855,IN,500/1000,2000,1123.89,0,MALE,35400,-49200,2015-01-21,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,?,1,?,50380,4580,4580,41220,Suburu,Forrestor,1996
42,337677,OH,100/300,2000,1437.33,0,FEMALE,25000,0,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,YES,1,NO,70400,12800,12800,44800,BMW,3 Series,2000
47,156694,IL,500/1000,500,1238.89,0,MALE,0,0,2015-01-31,Vehicle Theft,?,Minor Damage,,WV,Northbend,?,0,NO,6240,960,960,4320,Ford,Fusion,2011
28,613226,IN,100/300,2000,1595.07,0,MALE,75800,0,2015-02-23,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,YES,0,YES,70920,11820,11820,47280,Jeep,Wrangler,2002
56,804410,OH,250/500,1000,1127.89,6000000,MALE,67400,-43800,2015-01-28,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,YES,2,YES,39480,6580,6580,26320,Suburu,Forrestor,2002
43,553565,IN,500/1000,2000,929.7,6000000,FEMALE,46400,-74300,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,?,2,YES,63240,10540,5270,47430,Mercedes,E400,2005
34,399524,IL,100/300,1000,1829.63,0,MALE,56700,0,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,YES,1,?,67650,12300,6150,49200,Audi,A5,2009
43,380067,OH,500/1000,1000,1243.84,0,FEMALE,47900,-73400,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,YES,1,NO,64900,12980,12980,38940,Volkswagen,Jetta,2011
26,360770,IN,100/300,500,1285.03,3000000,FEMALE,0,-41500,2015-02-03,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,NO,1,?,52200,5220,10440,36540,Honda,CRV,2011
57,958785,OH,100/300,500,1216.56,0,MALE,67400,-83200,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,?,0,NO,78000,6500,13000,58500,Suburu,Forrestor,2000
27,797934,IN,500/1000,2000,966.26,0,FEMALE,56400,-32800,2015-02-06,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,YES,0,?,67200,6720,6720,53760,Volkswagen,Passat,1995
43,883980,OH,100/300,500,1203.17,0,FEMALE,56700,-65600,2015-02-06,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,NO,0,?,63250,11500,5750,46000,Nissan,Ultima,1997
37,340614,IL,250/500,2000,1212.12,0,FEMALE,65600,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,YES,1,YES,68760,11460,5730,51570,Ford,Fusion,1995
28,435784,OH,250/500,1000,1573.93,0,MALE,30400,0,2015-01-07,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,YES,0,?,65040,10840,10840,43360,Suburu,Impreza,2010
44,200827,OH,500/1000,500,1097.57,0,MALE,0,0,2015-02-28,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,NO,1,YES,61700,6170,6170,49360,Saab,93,2005
